"Multimedia","MulTitle","MulDescription","DetMediaRightsRef.irn","DetResourceDetailsDate0(1)","DetResourceDetailsDescription_tab(1)","DetSubject_tab(1)","SecDepartment_tab(1)","SecDepartment_tab(2)","AdmPublishWebNoPassword","AdmPublishWebPassword","NteText0","MulMultimediaCreatorRole_tab(1)","MulMultimediaCreatorRole_tab(2)","MulMultimediaCreatorRef_tab(1).irn","MulMultimediaCreatorRef_tab(2).irn"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ateleia_herbert-smithii_2.jpg","Ateleia_herbert-smithii_2.jpg","live plant photo from Contribute","46","4-Nov-18 ","Created","NLP","Action","Technology","Yes","Yes",7,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ateleia_herbert-smithii_3.jpg","Ateleia_herbert-smithii_3.jpg","live plant photo from Contribute","46","4-Nov-18 ","Created","NLP","Action","Technology","Yes","Yes",7,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Batocarpus_costaricensis.jpg","Batocarpus_costaricensis.jpg","live plant photo from Contribute","46","7-Apr-18 ","Created","NLP","Action","Technology","Yes","Yes",8,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Bourreria_costaricensis.jpg","Bourreria_costaricensis.jpg","live plant photo from Contribute","46","6-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",9,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Bourreria_costaricensis_2.jpg","Bourreria_costaricensis_2.jpg","live plant photo from Contribute","46","6-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",9,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Brosimum_alicastrum.jpg","Brosimum_alicastrum.jpg","live plant photo from Contribute","46","29-Mar-18","Created","NLP","Action","Technology","Yes","Yes",10,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Caryodaphnopsis_burgeri.jpg","Caryodaphnopsis_burgeri.jpg","live plant photo from Contribute","46","28-Apr-18","Created","NLP","Action","Technology","Yes","Yes",11,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Chaunochiton_kappleri.jpg","Chaunochiton_kappleri.jpg","live plant photo from Contribute","46","17-Jun-18","Created","NLP","Action","Technology","Yes","Yes",12,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Chaunochiton_kappleri_2.jpg","Chaunochiton_kappleri_2.jpg","live plant photo from Contribute","46","17-Jun-18","Created","NLP","Action","Technology","Yes","Yes",12,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Chaunochiton_kappleri_3.jpg","Chaunochiton_kappleri_3.jpg","live plant photo from Contribute","46","17-Jun-18","Created","NLP","Action","Technology","Yes","Yes",12,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Chrysophyllum_venezuelanense.jpg","Chrysophyllum_venezuelanense.jpg","live plant photo from Contribute","46","31-Jul-18","Created","NLP","Action","Technology","Yes","Yes",13,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Couratari_guianensis.jpg","Couratari_guianensis.jpg","live plant photo from Contribute","46","25-May-18","Created","NLP","Action","Technology","Yes","Yes",14,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Cymbopetalum_costaricense.jpg","Cymbopetalum_costaricense.jpg","live plant photo from Contribute","46","14-Oct-18","Created","NLP","Action","Technology","Yes","Yes",15,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Cymbopetalum_costaricense_2.jpg","Cymbopetalum_costaricense_2.jpg","live plant photo from Contribute","46","14-Oct-18","Created","NLP","Action","Technology","Yes","Yes",15,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Dipteryx_panamensis.jpg","Dipteryx_panamensis.jpg","live plant photo from Contribute","46","8-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",16,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Drypetes_standleyi.jpg","Drypetes_standleyi.jpg","live plant photo from Contribute","46","3-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",17,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Dussia_foxii.jpg","Dussia_foxii.jpg","live plant photo from Contribute","46","8-Oct-18 ","Created","NLP","Action","Technology","Yes","Yes",18,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Dussia_foxii_2.jpg","Dussia_foxii_2.jpg","live plant photo from Contribute","46","8-Oct-18 ","Created","NLP","Action","Technology","Yes","Yes",18,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Enterolobium_schomburgkii.jpg","Enterolobium_schomburgkii.jpg","live plant photo from Contribute","46","30-Aug-18","Created","NLP","Action","Technology","Yes","Yes",19,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Enterolobium_schomburgkii_2.jpg","Enterolobium_schomburgkii_2.jpg","live plant photo from Contribute","46","30-Aug-18","Created","NLP","Action","Technology","Yes","Yes",19,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Eschweilera_costaricensis.jpg","Eschweilera_costaricensis.jpg","live plant photo from Contribute","46","3-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",20,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Eugenia_hypargyrea.jpg","Eugenia_hypargyrea.jpg","live plant photo from Contribute","46","29-Mar-18","Created","NLP","Action","Technology","Yes","Yes",21,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Eugenia_hypargyrea_2.jpg","Eugenia_hypargyrea_2.jpg","live plant photo from Contribute","46","29-Mar-18","Created","NLP","Action","Technology","Yes","Yes",21,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Eugenia_sancarlosensis.jpg","Eugenia_sancarlosensis.jpg","live plant photo from Contribute","46","19-Aug-19","Created","NLP","Action","Technology","Yes","Yes",22,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Guarea_gentryi.jpg","Guarea_gentryi.jpg","live plant photo from Contribute","46","24-Aug-18","Created","NLP","Action","Technology","Yes","Yes",23,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Guarea_hoffmanniana.jpg","Guarea_hoffmanniana.jpg","live plant photo from Contribute","46","30-Jul-18","Created","NLP","Action","Technology","Yes","Yes",24,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Hernandia_didymantha.jpg","Hernandia_didymantha.jpg","live plant photo from Contribute","46","29-May-18","Created","NLP","Action","Technology","Yes","Yes",25,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Huberodendron_allenii.jpg","Huberodendron_allenii.jpg","live plant photo from Contribute","46","8-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",26,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Huberodendron_allenii_2.jpg","Huberodendron_allenii_2.jpg","live plant photo from Contribute","46","9-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",26,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Inga_cocleensis.jpg","Inga_cocleensis.jpg","live plant photo from Contribute","46","6-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",27,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Lecointea_amazonica.jpg","Lecointea_amazonica.jpg","live plant photo from Contribute","46","17-Nov-18","Created","NLP","Action","Technology","Yes","Yes",28,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Lecythis_ampla.jpg","Lecythis_ampla.jpg","live plant photo from Contribute","46","29-Aug-18","Created","NLP","Action","Technology","Yes","Yes",29,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Lecythis_mesophylla.jpg","Lecythis_mesophylla.jpg","live plant photo from Contribute","46","11-May-18","Created","NLP","Action","Technology","Yes","Yes",31,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Lecythis_mesophylla_2.jpg","Lecythis_mesophylla_2.jpg","live plant photo from Contribute","46","28-Apr-18","Created","NLP","Action","Technology","Yes","Yes",30,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Licania_operculipetala.jpg","Licania_operculipetala.jpg","live plant photo from Contribute","46","8-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",32,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Licania_operculipetala_2.jpg","Licania_operculipetala_2.jpg","live plant photo from Contribute","46","8-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",32,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Macrolobium_costaricense.jpg","Macrolobium_costaricense.jpg","live plant photo from Contribute","46","30-Aug-18","Created","NLP","Action","Technology","Yes","Yes",33,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Macrolobium_hartshornii.jpg","Macrolobium_hartshornii.jpg","live plant photo from Contribute","46","6-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",34,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Macrolobium_herrerae.jpg","Macrolobium_herrerae.jpg","live plant photo from Contribute","46","6-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",35,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Magnolia_inbioana.jpg","Magnolia_inbioana.jpg","live plant photo from Contribute","46","13-Apr-18","Created","NLP","Action","Technology","Yes","Yes",36,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Meliosma_allenii.jpg","Meliosma_allenii.jpg","live plant photo from Contribute","46","7-Apr-18 ","Created","NLP","Action","Technology","Yes","Yes",37,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Mosanona_costaricensis.jpg","Mosanona_costaricensis.jpg","live plant photo from Contribute","46","13-Oct-18","Created","NLP","Action","Technology","Yes","Yes",38,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Mosanona_costaricensis_2.jpg","Mosanona_costaricensis_2.jpg","live plant photo from Contribute","46","13-Oct-18","Created","NLP","Action","Technology","Yes","Yes",38,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Myroxylon_balsamum.jpg","Myroxylon_balsamum.jpg","live plant photo from Contribute","46","11-Jun-18","Created","NLP","Action","Technology","Yes","Yes",39,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ocotea_atlantica.jpg","Ocotea_atlantica.jpg","live plant photo from Contribute","46","19-Aug-17","Created","NLP","Action","Technology","Yes","Yes",40,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ocotea_austinii.jpg","Ocotea_austinii.jpg","live plant photo from Contribute","46","2-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",41,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ocotea_fulvescens.jpg","Ocotea_fulvescens.jpg","live plant photo from Contribute","46","2-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",42,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ocotea_macropoda.jpg","Ocotea_macropoda.jpg","live plant photo from Contribute","46","8-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",43,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ocotea_macropoda_2.jpg","Ocotea_macropoda_2.jpg","live plant photo from Contribute","46","8-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",43,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ocotea_macropoda_3.jpg","Ocotea_macropoda_3.jpg","live plant photo from Contribute","46","8-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",43,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Ocotea_pentagona.jpg","Ocotea_pentagona.jpg","live plant photo from Contribute","46","8-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",44,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Palicourea_beachiana.jpg","Palicourea_beachiana.jpg","live plant photo from Contribute","46","9-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",45,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Palicourea_beachiana_2.jpg","Palicourea_beachiana_2.jpg","live plant photo from Contribute","46","9-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",45,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Parinari_parvifolia.jpg","Parinari_parvifolia.jpg","live plant photo from Contribute","46","4-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",46,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Parinari_parvifolia_2.jpg","Parinari_parvifolia_2.jpg","live plant photo from Contribute","46","14-Oct-18","Created","NLP","Action","Technology","Yes","Yes",47,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Passiflora_membranacea.jpg","Passiflora_membranacea.jpg","live plant photo from Contribute","46","2-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",48,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Passiflora_membranacea_2.jpg","Passiflora_membranacea_2.jpg","live plant photo from Contribute","46","2-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",48,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Picramnia_antidesma.jpg","Picramnia_antidesma.jpg","live plant photo from Contribute","46","29-Mar-18","Created","NLP","Action","Technology","Yes","Yes",49,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Plinia_puriscalensis.jpg","Plinia_puriscalensis.jpg","live plant photo from Contribute","46","28-Apr-18","Created","NLP","Action","Technology","Yes","Yes",50,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Posoqueria_robusta.jpg","Posoqueria_robusta.jpg","live plant photo from Contribute","46","5-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",51,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Pouteria_laevigata.jpg","Pouteria_laevigata.jpg","live plant photo from Contribute","46","29-Jun-18","Created","NLP","Action","Technology","Yes","Yes",52,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Pouteria_laevigata_2.jpg","Pouteria_laevigata_2.jpg","live plant photo from Contribute","46","29-Jun-18","Created","NLP","Action","Technology","Yes","Yes",52,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Preslianthus_pittieri.jpg","Preslianthus_pittieri.jpg","live plant photo from Contribute","46","9-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",53,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Protium_pittieri.jpg","Protium_pittieri.jpg","live plant photo from Contribute","46","4-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",54,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Protium_pittieri_2.jpg","Protium_pittieri_2.jpg","live plant photo from Contribute","46","4-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",54,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Protium_pittieri_3.jpg","Protium_pittieri_3.jpg","live plant photo from Contribute","46","4-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",54,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Pseudopiptadenia_suaveolens.jpg","Pseudopiptadenia_suaveolens.jpg","live plant photo from Contribute","46","29-Jun-18","Created","NLP","Action","Technology","Yes","Yes",55,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Psychotria_chagrensis.jpg","Psychotria_chagrensis.jpg","live plant photo from Contribute","46","13-Oct-18","Created","NLP","Action","Technology","Yes","Yes",56,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Quararibea_asterolepis.jpg","Quararibea_asterolepis.jpg","live plant photo from Contribute","46","14-Oct-18","Created","NLP","Action","Technology","Yes","Yes",57,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Sapranthus_palanga.jpg","Sapranthus_palanga.jpg","live plant photo from Contribute","46","19-Dec-17","Created","NLP","Action","Technology","Yes","Yes",58,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Sarcaulus_brasiliensis.jpg","Sarcaulus_brasiliensis.jpg","live plant photo from Contribute","46","10-Aug-18","Created","NLP","Action","Technology","Yes","Yes",59,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Simira_maxonii.jpg","Simira_maxonii.jpg","live plant photo from Contribute","46","29-Jun-18","Created","NLP","Action","Technology","Yes","Yes",60,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Styphnolobium_parviflorum.jpg","Styphnolobium_parviflorum.jpg","live plant photo from Contribute","46","14-Oct-18","Created","NLP","Action","Technology","Yes","Yes",61,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Styphnolobium_parviflorum_2.jpg","Styphnolobium_parviflorum_2.jpg","live plant photo from Contribute","46","14-Oct-18","Created","NLP","Action","Technology","Yes","Yes",61,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Tachigali_versicolor.jpg","Tachigali_versicolor.jpg","live plant photo from Contribute","46","7-Apr-18 ","Created","NLP","Action","Technology","Yes","Yes",62,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Tachigali_versicolor_2.jpg","Tachigali_versicolor_2.jpg","live plant photo from Contribute","46","7-Apr-18 ","Created","NLP","Action","Technology","Yes","Yes",62,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Terminalia_bucidoides.jpg","Terminalia_bucidoides.jpg","live plant photo from Contribute","46","9-Jun-18 ","Created","NLP","Action","Technology","Yes","Yes",63,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Vantanea_barbourii.jpg","Vantanea_barbourii.jpg","live plant photo from Contribute","46","17-Nov-18","Created","NLP","Action","Technology","Yes","Yes",64,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Vantanea_barbourii_2.jpg","Vantanea_barbourii_2.jpg","live plant photo from Contribute","46","17-Nov-18","Created","NLP","Action","Technology","Yes","Yes",64,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Vatairea_erythrocarpa.jpg","Vatairea_erythrocarpa.jpg","live plant photo from Contribute","46","12-Aug-18","Created","NLP","Action","Technology","Yes","Yes",65,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Virola_multiflora.jpg","Virola_multiflora.jpg","live plant photo from Contribute","46","23-Jul-18","Created","NLP","Action","Technology","Yes","Yes",66,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Virola_surinamensis.jpg","Virola_surinamensis.jpg","live plant photo from Contribute","46","10-Jun-18","Created","NLP","Action","Technology","Yes","Yes",67,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Virola_surinamensis_2.jpg","Virola_surinamensis_2.jpg","live plant photo from Contribute","46","17-Nov-18","Created","NLP","Action","Technology","Yes","Yes",68,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Xylopia_bocatonera.jpg","Xylopia_bocatonera.jpg","live plant photo from Contribute","46","6-Aug-18 ","Created","NLP","Action","Technology","Yes","Yes",69,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Zygia_gigantifoliola.jpg","Zygia_gigantifoliola.jpg","live plant photo from Contribute","46","18-Aug-18","Created","NLP","Action","Technology","Yes","Yes",70,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Zygia_gigantifoliola_2.jpg","Zygia_gigantifoliola_2.jpg","live plant photo from Contribute","46","18-Aug-18","Created","NLP","Action","Technology","Yes","Yes",70,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Zygia_gigantifoliola_3.jpg","Zygia_gigantifoliola_3.jpg","live plant photo from Contribute","46","18-Aug-18","Created","NLP","Action","Technology","Yes","Yes",70,"Photographer","Creator",206557,"173648"
"\\serenity\Imaging_Scratch\Action\Live Plant Photos\LA_00NOV2018\Zygia_gigantifoliola_4.jpg","Zygia_gigantifoliola_4.jpg","live plant photo from Contribute","46","18-Aug-18","Created","NLP","Action","Technology","Yes","Yes",70,"Photographer","Creator",206557,"173648"
