"CatDepartment","CatCatalog","CatCatalogSubset","GeoSeries","GeoCatalogNo","NotFisNotes0(1)","CatMammalsProject_tab(1)","ColMammalsCollectorRef.irn","SecDepartment_tab(1)","AdmPublishWebNoPassword","AdmPublishWebPassword","ColEarliestDateCollected","ColSiteLocationRef.irn","NotFisNotes0(2)"
"Action","Botany","Sighting","NLP",5013054,39,"Live Plant Photos",206557,"Action","Yes","Yes","11-Jun-18",588550,"ce3"
"Action","Botany","Sighting","NLP",5013055,40,"Live Plant Photos",206557,"Action","Yes","Yes","19-Aug-17",588529,"ce12"
"Action","Botany","Sighting","NLP",5013056,41,"Live Plant Photos",206557,"Action","Yes","Yes","2-Jun-18 ",588552,"ce15"
"Action","Botany","Sighting","NLP",5013057,42,"Live Plant Photos",206557,"Action","Yes","Yes","2-Jun-18 ",588552,"ce15"
"Action","Botany","Sighting","NLP",5013058,43,"Live Plant Photos",206557,"Action","Yes","Yes","8-Aug-18 ",588531,"ce37"
"Action","Botany","Sighting","NLP",5013061,44,"Live Plant Photos",206557,"Action","Yes","Yes","8-Aug-18 ",588531,"ce37"
"Action","Botany","Sighting","NLP",5013062,45,"Live Plant Photos",206557,"Action","Yes","Yes","9-Aug-18 ",588531,"ce41"
"Action","Botany","Sighting","NLP",5013064,46,"Live Plant Photos",206557,"Action","Yes","Yes","4-Aug-18 ",588531,"ce32"
"Action","Botany","Sighting","NLP",5013065,47,"Live Plant Photos",206557,"Action","Yes","Yes","14-Oct-18",588537,"ce8"
"Action","Botany","Sighting","NLP",5013066,48,"Live Plant Photos",206557,"Action","Yes","Yes","2-Jun-18 ",588552,"ce15"
"Action","Botany","Sighting","NLP",5013068,49,"Live Plant Photos",206557,"Action","Yes","Yes","29-Mar-18",588535,"ce25"
"Action","Botany","Sighting","NLP",5013069,50,"Live Plant Photos",206557,"Action","Yes","Yes","28-Apr-18",588554,"ce19"
"Action","Botany","Sighting","NLP",5013070,51,"Live Plant Photos",206557,"Action","Yes","Yes","5-Aug-18 ",588531,"ce34"
"Action","Botany","Sighting","NLP",5013071,52,"Live Plant Photos",206557,"Action","Yes","Yes","29-Jun-18",588547,"ce23"
"Action","Botany","Sighting","NLP",5013073,53,"Live Plant Photos",206557,"Action","Yes","Yes","9-Aug-18 ",588531,"ce41"
"Action","Botany","Sighting","NLP",5013074,54,"Live Plant Photos",206557,"Action","Yes","Yes","4-Aug-18 ",588531,"ce32"
"Action","Botany","Sighting","NLP",5013077,55,"Live Plant Photos",206557,"Action","Yes","Yes","29-Jun-18",588547,"ce23"
"Action","Botany","Sighting","NLP",5013078,56,"Live Plant Photos",206557,"Action","Yes","Yes","13-Oct-18",588536,"ce7"
"Action","Botany","Sighting","NLP",5013079,57,"Live Plant Photos",206557,"Action","Yes","Yes","14-Oct-18",588537,"ce8"
"Action","Botany","Sighting","NLP",5013080,58,"Live Plant Photos",206557,"Action","Yes","Yes","19-Dec-17",588539,"ce14"
"Action","Botany","Sighting","NLP",5013081,59,"Live Plant Photos",206557,"Action","Yes","Yes","10-Aug-18",588531,"ce1"
"Action","Botany","Sighting","NLP",5013082,60,"Live Plant Photos",206557,"Action","Yes","Yes","29-Jun-18",588538,"ce22"
"Action","Botany","Sighting","NLP",5013083,61,"Live Plant Photos",206557,"Action","Yes","Yes","14-Oct-18",588537,"ce8"
"Action","Botany","Sighting","NLP",5013085,62,"Live Plant Photos",206557,"Action","Yes","Yes","7-Apr-18 ",588541,"ce36"
"Action","Botany","Sighting","NLP",5013087,63,"Live Plant Photos",206557,"Action","Yes","Yes","9-Jun-18 ",588548,"ce42"
"Action","Botany","Sighting","NLP",5013088,64,"Live Plant Photos",206557,"Action","Yes","Yes","17-Nov-18",588548,"ce10"
"Action","Botany","Sighting","NLP",5013090,65,"Live Plant Photos",206557,"Action","Yes","Yes","12-Aug-18",588531,"ce5"
"Action","Botany","Sighting","NLP",5013091,66,"Live Plant Photos",206557,"Action","Yes","Yes","23-Jul-18",588531,"ce16"
"Action","Botany","Sighting","NLP",5013092,67,"Live Plant Photos",206557,"Action","Yes","Yes","10-Jun-18",588541,"ce2"
"Action","Botany","Sighting","NLP",5013093,68,"Live Plant Photos",206557,"Action","Yes","Yes","17-Nov-18",588548,"ce10"
"Action","Botany","Sighting","NLP",5013094,69,"Live Plant Photos",206557,"Action","Yes","Yes","6-Aug-18 ",588531,"ce35"
"Action","Botany","Sighting","NLP",5013095,70,"Live Plant Photos",206557,"Action","Yes","Yes","18-Aug-18",588531,"ce11"
